Date,Location,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate-N/Nitrite-N  (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),SO2 Flux (t/d),CO2 Flux (t/d),Month,Month_sin,Month_cos
2018-07-03,Mataas na Kahoy,0.776470588235294,0.6016260162601628,0.4054054054054052,0.6006493506493507,0.1261261261261261,0.0035273368606701,0.0994318181818181,0.4324758842443729,0.0235747121920553,0.3577024800480429,7,-0.4999999999999997,-0.8660254037844388
2018-07-03,Tanauan,0.8058823529411764,0.634146341463415,0.3783783783783785,0.5616883116883118,0.1126126126126126,0.0088183421516754,0.1051136363636363,0.4638263665594855,0.0235747121920553,0.3577024800480429,7,-0.4999999999999997,-0.8660254037844388
2018-08-07,Quiling Talisay,0.8117647058823529,0.7317073170731707,0.4189189189189193,0.7045454545454546,0.1036036036036036,0.0158730158730158,0.0951704545454545,0.6696141479099679,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Sampaloc Talisay,0.7647058823529411,0.7398373983739839,0.4864864864864868,0.6363636363636362,0.2297297297297297,0.0005291005291005,0.1164772727272727,0.319935691318328,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,San Isidro Talisay,0.7999999999999999,0.6016260162601628,0.3918918918918921,0.6590909090909087,0.3963963963963963,0.0052910052910052,0.1107954545454545,0.5144694533762059,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Leviste Laurel,0.7941176470588235,0.6910569105691058,0.4729729729729728,0.5974025974025974,0.1531531531531531,0.0105820105820105,0.1022727272727272,0.3448553054662379,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Buso Buso Laurel,0.788235294117647,0.7154471544715448,0.4594594594594596,0.5714285714285712,0.1891891891891891,0.0123456790123456,0.1022727272727272,0.2419614147909968,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Bañaga Agoncillo,0.776470588235294,0.7804878048780493,0.5270270270270272,0.5584415584415585,0.1396396396396396,0.0141093474426807,0.0852272727272727,0.3054662379421221,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Subic Ilaya Agoncilo,0.7852941176470588,0.7317073170731707,0.5675675675675675,0.5616883116883118,0.09009009009009,0.0141093474426807,0.0681818181818181,0.295016077170418,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Mataas na Kahoy,0.7794117647058824,0.5853658536585369,0.3783783783783785,0.5584415584415585,0.099099099099099,0.0088183421516754,0.09375,0.5964630225080386,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-08-07,Tanauan,0.7999999999999999,0.5691056910569106,0.6216216216216219,0.5681818181818183,0.099099099099099,0.0070546737213403,0.1008522727272727,0.7049839228295821,0.0235747121920553,0.3577024800480429,8,-0.8660254037844384,-0.5000000000000004
2018-09-05,Quiling Talisay,0.7794117647058824,0.6910569105691058,0.5135135135135136,0.5259740259740258,0.1126126126126126,0.0211640211640211,0.0568181818181818,0.707395498392283,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Sampaloc Talisay,0.7676470588235295,0.6097560975609759,0.5270270270270272,0.581168831168831,0.2072072072072072,0.0088183421516754,0.1036931818181817,0.5434083601286174,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,San Isidro Talisay,0.7647058823529411,0.7398373983739839,0.4864864864864868,0.581168831168831,0.1801801801801801,0.0141093474426807,0.0894886363636364,0.4614147909967845,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Leviste Laurel,0.7911764705882353,0.747967479674797,0.5,0.5746753246753245,0.1576576576576576,0.0088183421516754,0.0965909090909091,0.4043408360128617,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Buso Buso Laurel,0.7617647058823529,0.7398373983739839,0.5135135135135136,0.5649350649350651,0.2252252252252252,0.0070546737213403,0.0980113636363636,0.247588424437299,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Bañaga Agoncillo,0.7676470588235295,0.7154471544715448,0.6216216216216219,0.6006493506493507,0.2477477477477477,0.0246913580246913,0.0667613636363636,0.182475884244373,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Subic Ilaya Agoncilo,0.7647058823529411,0.7317073170731707,0.6486486486486487,0.61038961038961,0.09009009009009,0.0158730158730158,0.0738636363636363,0.245176848874598,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Mataas na Kahoy,0.7647058823529411,0.5691056910569106,0.445945945945946,0.6006493506493507,0.2477477477477477,0.0052910052910052,0.1022727272727272,0.6575562700964631,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-09-05,Tanauan,0.7647058823529411,0.5691056910569106,0.3783783783783785,0.5681818181818183,0.1531531531531531,0.0105820105820105,0.0980113636363636,0.819935691318328,0.0235747121920553,0.3577024800480429,9,-1.0,-1.8369701987210294e-16
2018-10-04,Quiling Talisay,0.7999999999999999,0.6666666666666667,0.445945945945946,0.4902597402597402,0.1441441441441441,0.0123456790123456,0.0596590909090909,0.7138263665594856,0.0235747121920553,0.3577024800480429,10,-0.8660254037844386,0.5000000000000001
2018-10-04,Sampaloc Talisay,0.8235294117647058,0.6016260162601628,0.4054054054054052,0.3831168831168829,0.2522522522522522,0.0070546737213403,0.0852272727272727,0.5434083601286174,0.0235747121920553,0.3577024800480429,10,-0.8660254037844386,0.5000000000000001
